lng,lat
102.280646,26.927277,2
104.374881,28.946671,9
103.626813,30.058609,6
104.548365,31.375479,1
106.269081,30.786274,4
101.872573,30.015391,4
102.425657,29.963872,4
105.136739,28.688451,9
107.127440,31.530949,5
104.587846,31.421411,1
101.959274,26.628882,1
104.957314,29.691613,3
102.252060,26.682191,2
103.879153,30.232880,8
102.254853,26.674723,2
105.936925,30.812145,4
102.250347,26.684198,2
104.212433,29.972322,6
102.171549,28.220555,2
103.742367,31.588730,7
105.712511,30.272738,9
105.428806,30.674062,9
104.947795,30.752441,6
104.390006,31.070316,1
102.988764,30.015709,1
107.097979,31.581193,5
104.265270,30.961872,2
103.925535,29.102117,7
102.489891,30.007972,4
103.311455,30.220226,2
103.107982,30.007289,9
105.152287,29.454908,3
104.397590,30.496934,3
103.844036,30.348514,1
102.448154,29.255495,1
103.845092,30.351642,1
105.880721,30.817876,4
104.407694,30.488679,3
102.256730,26.676549,2
102.198020,27.520418,2
104.079980,30.253729,7
103.441374,30.190581,1
105.057229,30.642250,6
104.483623,31.109678,6
101.951039,26.622328,1
103.727102,32.314483,7
103.507053,30.373023,6
104.299823,31.143313,6
104.586772,30.071111,6
102.454497,29.998484,4
104.537052,31.132650,6
104.923333,30.387280,6
104.255647,30.912800,1
105.388685,28.954114,3
102.627573,29.457261,2
105.605394,30.629225,9
105.148700,30.315372,4
103.117026,28.683176,8
103.886288,30.495160,8
104.442933,31.274054,2
102.128933,26.954298,1
106.849688,31.857872,5
105.345541,29.084625,3
104.429650,30.475704,3
108.484721,31.774684,5
105.704008,32.415454,2
106.212434,31.393894,10
103.643036,31.500002,7
104.261759,30.607069,3
105.006329,29.605328,3
102.294921,26.878657,2
104.001064,29.123486,9
105.196258,32.089851,1
103.761686,31.794381,7
103.851206,30.437946,8
103.912777,29.460607,7
102.250166,26.682831,2
107.577988,31.171082,5
107.128485,31.524292,5
107.423522,31.209591,5
102.172335,27.019758,1
103.556014,28.855787,8
103.861674,30.116952,8
107.034046,30.789132,4
107.078089,31.585849,5
103.496092,31.137698,7
102.040709,26.823987,1
103.811415,30.033153,8
102.207960,27.576389,2
103.495939,30.010279,6
105.002176,31.893560,1
103.858615,30.103397,8
102.021576,30.083875,4
105.043988,29.577871,3
101.983935,30.062928,4
103.743747,32.355156,7
103.521434,30.273434,6
103.811312,30.033264,8
103.894650,29.258505,9
98.324077,29.569569,4
102.802996,29.792007,2
103.803468,30.026318,8
102.786355,29.787244,2
102.957422,29.975968,2
103.132629,28.335638,8
106.014045,29.944556,9
104.690479,29.840508,3
104.612775,29.974839,3
106.858988,30.811150,4
102.638214,29.408699,1
100.772799,30.069479,4
103.702732,31.563134,7
103.541967,29.694702,8
103.736311,32.362428,7
103.482236,30.430092,4
104.977883,30.299075,4
104.338794,30.573399,3
104.412298,30.485849,3
103.824233,29.376993,7
104.519173,31.335144,2
103.330692,29.892287,9
104.647524,31.511017,1
101.951205,26.621499,1
102.959782,29.980081,2
105.042406,29.576477,3
103.687921,31.543486,7
102.126459,26.917311,1
104.780571,30.876120,6
106.894769,33.152276,2
105.311797,31.216605,10
